"Japanese_format","US_format","US_long_format","CA_mix_format","SA_mix_format","NZ_format","Excel_Numeric_Format"
"2017/1/20","1/20/2017","Friday, January 20, 2017","January 20, 2017","20 January 2017","20/01/2017",42755
"2017/1/21","1/21/2017","Saturday, January 21, 2017","January 21, 2017","21 January 2017","21/01/2017",42756
"2017/1/22","1/22/2017","Sunday, January 22, 2017","January 22, 2017","22 January 2017","22/01/2017",42757
"2017/1/23","1/23/2017","Monday, January 23, 2017","January 23, 2017","23 January 2017","23/01/2017",42758
"2017/1/24","1/24/2017","Tuesday, January 24, 2017","January 24, 2017","24 January 2017","24/01/2017",42759
"2017/1/25","1/25/2017","Wednesday, January 25, 2017","January 25, 2017","25 January 2017","25/01/2017",42760
"2017/1/26","1/26/2017","Thursday, January 26, 2017","January 26, 2017","26 January 2017","26/01/2017",42761
"2017/1/27","1/27/2017","Friday, January 27, 2017","January 27, 2017","27 January 2017","27/01/2017",42762
"2017/1/28","1/28/2017","Saturday, January 28, 2017","January 28, 2017","28 January 2017","28/01/2017",42763
"2017/1/29","1/29/2017","Sunday, January 29, 2017","January 29, 2017","29 January 2017","29/01/2017",42764
"2017/1/30","1/30/2017","Monday, January 30, 2017","January 30, 2017","30 January 2017","30/01/2017",42765
"2017/1/31","1/31/2017","Tuesday, January 31, 2017","January 31, 2017","31 January 2017","31/01/2017",42766
"2017/2/1","2/1/2017","Wednesday, February 1, 2017","February 1, 2017","01 February 2017","1/2/2017",42767
"2017/2/2","2/2/2017","Thursday, February 2, 2017","February 2, 2017","02 February 2017","2/2/2017",42768
"2017/2/3","2/3/2017","Friday, February 3, 2017","February 3, 2017","03 February 2017","3/2/2017",42769
"2017/2/4","2/4/2017","Saturday, February 4, 2017","February 4, 2017","04 February 2017","4/2/2017",42770
"2017/2/5","2/5/2017","Sunday, February 5, 2017","February 5, 2017","05 February 2017","5/2/2017",42771
"2017/2/6","2/6/2017","Monday, February 6, 2017","February 6, 2017","06 February 2017","6/2/2017",42772
"2017/2/7","2/7/2017","Tuesday, February 7, 2017","February 7, 2017","07 February 2017","7/2/2017",42773
"2017/2/8","2/8/2017","Wednesday, February 8, 2017","February 8, 2017","08 February 2017","8/2/2017",42774
"2017/2/9","2/9/2017","Thursday, February 9, 2017","February 9, 2017","09 February 2017","9/2/2017",42775
"2017/2/10","2/10/2017","Friday, February 10, 2017","February 10, 2017","10 February 2017","10/2/2017",42776
